本國上櫃證券國際證券辨識號碼一覽表,,,,,,
,,,,,,
最近更新日期:2026/04/05,,,,,,
,,,,,,
掛牌日以正式公告為準,,,,,,
,,,,,,
,,,,,,
有價證券代號及名稱,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
上櫃認購(售)權證,,,,,,
700008　新應材元大56購02,TW25Z7000081,2025/10/1,上櫃,,RWSCCA,
700010　萬潤元大56購01,TW25Z7000107,2025/10/1,上櫃,,RWSCCA,
700015　原相富邦54購01,TW25Z7000156,2025/10/1,上櫃,,RWSCCE,
700016　博智富邦56購01,TW25Z7000164,2025/10/1,上櫃,,RWSCCE,
700017　聖暉*富邦54購01,TW25Z7000172,2025/10/1,上櫃,,RWSCCE,
700018　雙鴻富邦56購02,TW25Z7000180,2025/10/1,上櫃,,RWSCCE,
700019　宏捷科統一5C購01,TW25Z7000198,2025/10/1,上櫃,,RWSCCA,
700020　佳邦統一5C購01,TW25Z7000206,2025/10/1,上櫃,,RWSCCA,
700021　長佳智統一5C購02,TW25Z7000214,2025/10/1,上櫃,,RWSCCA,
700022　華星光統一5C購01,TW25Z7000222,2025/10/1,上櫃,,RWSCCA,
700023　新應材統一5B購02,TW25Z7000230,2025/10/1,上櫃,,RWSCCA,
700024　新應材統一64購02,TW25Z7000248,2025/10/1,上櫃,,RWSCCA,
700025　雙鴻統一5B購01,TW25Z7000255,2025/10/1,上櫃,,RWSCCA,
700027　新應材中信57購01,TW25Z7000271,2025/10/1,上櫃,,RWSCCE,
700028　雙鴻中信59購01,TW25Z7000289,2025/10/1,上櫃,,RWSCCE,
700029　均豪元富54購02,TW25Z7000297,2025/10/1,上櫃,,RWSCCA,
700030　均豪元富54購03,TW25Z7000305,2025/10/1,上櫃,,RWSCCA,
700032　金山電元富54購01,TW25Z7000321,2025/10/1,上櫃,,RWSCCA,
700033　能率元富54購02,TW25Z7000339,2025/10/1,上櫃,,RWSCCA,
700034　閎康元富54購01,TW25Z7000347,2025/10/1,上櫃,,RWSCCA,
700035　閎康元富54購02,TW25Z7000354,2025/10/1,上櫃,,RWSCCA,
700042　新應材永豐56購02,TW25Z7000420,2025/10/1,上櫃,,RWSCCA,
700043　新應材永豐59購01,TW25Z7000438,2025/10/1,上櫃,,RWSCCA,
700044　廣明永豐56購01,TW25Z7000446,2025/10/1,上櫃,,RWSCCA,
700045　龍巖永豐54購01,TW25Z7000453,2025/10/1,上櫃,,RWSCCA,
700046　雙鴻永豐54購05,TW25Z7000461,2025/10/1,上櫃,,RWSCCA,
700047　宏捷科凱基59購01,TW25Z7000479,2025/10/1,上櫃,,RWSCCA,
700050　能率凱基56購02,TW25Z7000503,2025/10/1,上櫃,,RWSCCA,
700051　萬潤凱基54購04,TW25Z7000511,2025/10/1,上櫃,,RWSCCA,
700052　廣明凱基54購04,TW25Z7000529,2025/10/1,上櫃,,RWSCCA,
700054　雙鴻凱基56購03,TW25Z7000545,2025/10/1,上櫃,,RWSCCA,
700057　中光電國票57購02,TW25Z7000578,2025/10/2,上櫃,,RWSCCA,
700058　弘塑國票58購01,TW25Z7000586,2025/10/2,上櫃,,RWSCCA,
700059　生合國票56購02,TW25Z7000594,2025/10/2,上櫃,,RWSCCA,
